"HISEI","HOMEPOS","IMMIG","GRADE","GENDER","MATH","W"
71.39,-1.151,1,0,0,371.4162,658.7812
82.41,-0.0882,1,0,0,588.2291,640.1664
17.55,-0.9467,3,0,0,392.2948,610.6153
70.34,-0.0224,1,0,1,435.3368,521.3976
65.42,-1.0353,1,0,1,354.3129,738.2497
68.7,-2.0737,1,-1,0,378.4939,678.6486
14.21,-1.5435,1,-1,1,262.1467,414.1503
60.92,-0.5898,1,0,1,449.0274,940.716
88.7,0.5089,3,0,0,464.181,876.8064
79.74,-0.1341,1,0,0,482.477,651.1886
73.38,0.3108,1,0,1,582.1389,700.9747
65.01,0.0949,1,0,1,588.5779,805.4391
59.35,1.3579,1,0,1,547.9229,727.6845
26.62,0.2713,2,0,1,396.4757,577.0671
70.89,0.3463,1,-1,1,338.4338,801.2896
74.66,1.6556,1,1,1,497.6399,623.6447
68.7,1.0291,1,-1,0,478.4303,837.0659
68.7,0.7395,1,0,0,612.3142,640.7802
28.12,-0.6476,2,0,0,476.4154,1131.283
68.7,0.4243,2,0,0,554.6087,894.287
56.57,0.0629,1,0,1,430.8455,662.7367
50.15,1.8136,1,0,1,386.2272,583.4096
51.01,-0.1215,1,1,0,324.7691,359.5035
16.5,-1.3795,1,0,1,337.0369,552.1778
66.42,0.1782,1,0,1,468.3119,801.2896
16.38,1.1678,2,0,1,447.1135,937.0833
38.88,-0.3969,1,0,0,288.4188,591.343
14.21,-0.2509,1,0,0,493.189,712.6043
33.76,-0.5531,2,0,1,444.485,765.5425
71.39,-1.104,2,1,0,352.7178,885.7158
60.29,0.8163,1,1,0,637.5554,401.847
51.25,0.6595,2,0,0,435.1141,924.7837
79.49,0.0445,1,0,1,395.4735,870.0235
23.41,-0.646,2,0,1,522.4309,671.4904
79.05,0.2895,1,1,1,428.887,1313.755
82.41,1.9702,1,0,0,511.528,640.1664
68.7,0.1126,1,-1,1,338.2522,674.5685
73.91,0.0337,3,0,0,483.2639,895.9763
62.13,0.7529,1,-1,0,453.4657,780.4352
88.31,1.0653,1,0,0,647.7323,752.9022
71.55,0.4577,3,1,1,435.2862,801.8572
57,0.0973,2,0,1,469.0462,671.4904
43.85,-0.6375,2,1,1,273.5576,1240.139
56.64,0.8193,1,1,1,459.8417,815.988
68.7,-1.4448,1,0,0,546.6048,410.2264
30.9,-0.763,1,0,0,480.4564,640.1664
24.53,-0.7782,1,0,0,413.2153,707.707
30.34,1.0054,2,0,0,380.7083,1284.469
81.92,1.6815,2,0,1,538.6487,662.592
74.66,-0.4942,2,0,0,630.3136,861.4836
68.7,0.2981,1,0,0,561.2254,638.7462
16.38,-1.7336,1,0,0,314.1549,639.848
57.04,-0.6075,2,0,1,477.7938,405.3383
75.25,1.154,1,0,1,472.0082,635.4133
71.39,0.2055,1,0,0,440.026,610.3265
39.02,0.592,2,0,0,431.1714,750.7775
43.85,-0.3577,2,0,1,305.7187,727.1103
30.9,0.6995,2,1,1,531.2901,767.411
71.39,-0.1846,2,0,1,541.3561,552.1778
24.53,-0.9246,1,0,0,481.5922,771.7018
62.39,1.3325,2,1,1,451.6359,1286.044
85.85,-1.005,1,-1,0,264.9845,690.442
25.95,-1.321,1,0,1,313.1595,670.317
68.7,0.075,1,0,0,446.628,656.7302
68.7,1.0422,1,0,1,492.2512,739.4062
82.41,0.0833,1,0,1,643.6304,557.7143
76.49,1.1801,1,1,1,449.0106,696.2375
52.72,-1.1386,1,0,0,539.596,843.5551
19.66,-0.9927,2,1,1,340.1882,989.6694
43.85,-0.1686,1,0,0,409.6713,863.4596
43.76,-0.0199,1,0,1,419.4206,898.1214
76.49,1.8219,1,0,1,566.4594,717.451
76.49,0.8846,1,0,0,436.0613,634.1043
65.01,-0.2481,1,0,1,464.452,1743.588
57.99,-0.2661,1,-1,1,421.8973,700.9747
65.12,0.1434,1,0,0,555.0746,837.0659
82.41,1.6579,1,0,0,544.2838,780.4352
81.92,0.2311,1,0,1,572.6179,736.2656
28.48,0.7061,1,0,0,563.4654,799.4975
86.72,0.1651,1,0,1,366.1962,684.6931
51.01,0.747,1,0,1,538.4551,739.4062
17,0.2469,1,0,0,492.4561,780.4352
81.92,1.3728,1,1,0,688.2885,568.1805
39.02,0.0142,1,0,0,549.0787,639.848
65.42,-0.7611,3,-1,1,426.2644,603.7953
43.33,0.462,1,1,0,535.0211,826.0982
68.7,0.1819,2,0,0,619.7464,673.3137
24.98,-1.1807,2,1,0,447.5257,619.3579
79.49,-0.0504,1,0,1,504.7327,727.1103
43.85,-0.0573,1,0,0,517.7383,425.6052
35.34,-0.4319,1,1,0,268.0399,359.5035
44.94,-1.2909,2,0,0,419.8872,615.6447
68.7,0.1599,1,1,1,736.7931,945.6467
47.83,-0.4793,1,0,1,422.8301,618.4042
79.05,0.2048,1,0,1,520.3067,528.525
75.5,0.9235,1,0,0,470.7436,523.3733
30.9,1.146,1,-1,0,362.9103,735.1987
25.95,0.3056,1,0,1,482.7404,713.6537
85.85,1.7753,1,0,1,420.8952,776.2908
32.2,-0.4449,2,0,0,460.6717,627.1932
80.75,2.0629,1,0,0,627.7613,640.7802
68.7,0.6049,1,0,0,399.6429,410.2264
51.01,0.2031,1,0,1,508.6464,919.9075
48.13,-0.3453,1,0,1,450.9654,497.1649
68.7,-0.1387,1,1,0,418.0495,678.1436
68.7,0.2423,1,0,1,329.8495,696.46
